kind,crew,condition,rule,variant,metric,n_replicates,mean,sd,minimum,maximum,replicate_values
outcome,3,lone_liar,mean,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,lone_liar,mean,alibi_off,no_ejection_rate,10,0.5968,0.01779388159515014,0.57,0.626,"[0.626,0.602,0.586,0.612,0.576,0.598,0.614,0.584,0.6,0.57]"
outcome,3,lone_liar,mean,baseline,coalition_favorable_rate,10,0.8182,0.01724206741921884,0.79,0.844,"[0.844,0.826,0.826,0.804,0.79,0.794,0.828,0.822,0.832,0.816]"
outcome,3,lone_liar,mean,baseline,creator_ejection_rate,10,0.17439999999999997,0.01654085850250827,0.148,0.2,"[0.148,0.172,0.17,0.186,0.2,0.198,0.166,0.168,0.158,0.178]"
outcome,3,lone_liar,mean,baseline,creator_survival,10,0.8255999999999999,0.016540858502508242,0.8,0.852,"[0.852,0.828,0.83,0.814,0.8,0.802,0.834,0.832,0.842,0.822]"
outcome,3,lone_liar,mean,baseline,false_ejection_rate,10,0.32899999999999996,0.01791957340762081,0.308,0.356,"[0.308,0.32,0.354,0.31,0.344,0.31,0.336,0.326,0.326,0.356]"
outcome,3,lone_liar,mean,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,lone_liar,mean,baseline,no_ejection_rate,10,0.4892,0.025546471815540837,0.446,0.536,"[0.536,0.506,0.472,0.494,0.446,0.484,0.492,0.496,0.506,0.46]"
outcome,3,lone_liar,mean,catch_outside,coalition_favorable_rate,10,0.8182,0.01724206741921884,0.79,0.844,"[0.844,0.826,0.826,0.804,0.79,0.794,0.828,0.822,0.832,0.816]"
outcome,3,lone_liar,mean,catch_outside,creator_ejection_rate,10,0.17439999999999997,0.01654085850250827,0.148,0.2,"[0.148,0.172,0.17,0.186,0.2,0.198,0.166,0.168,0.158,0.178]"
outcome,3,lone_liar,mean,catch_outside,creator_survival,10,0.8255999999999999,0.016540858502508242,0.8,0.852,"[0.852,0.828,0.83,0.814,0.8,0.802,0.834,0.832,0.842,0.822]"
outcome,3,lone_liar,mean,catch_outside,false_ejection_rate,10,0.32899999999999996,0.01791957340762081,0.308,0.356,"[0.308,0.32,0.354,0.31,0.344,0.31,0.336,0.326,0.326,0.356]"
outcome,3,lone_liar,mean,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
