crew,condition,rule,variant,metric,replicate,value,kind
3,lone_liar,soft_credibility,baseline,coalition_caught,1,0.477,voter
3,lone_liar,soft_credibility,baseline,argmax_differs,1,0.118,voter
3,lone_liar,soft_credibility,baseline,mean_top_is_coalition,1,0.878,voter
3,lone_liar,soft_credibility,baseline,soft_top_is_coalition,1,0.878,voter
3,lone_liar,soft_credibility,baseline,mean_skips,1,0.0,voter
3,lone_liar,soft_credibility,baseline,soft_skips,1,0.0,voter
3,lone_liar,soft_credibility,alibi_off,false_ejection_rate,1,0.258,outcome
3,lone_liar,soft_credibility,alibi_off,coalition_favorable_rate,1,0.972,outcome
3,lone_liar,soft_credibility,alibi_off,creator_ejection_rate,1,0.028,outcome
3,lone_liar,soft_credibility,alibi_off,creator_survival,1,0.972,outcome
3,lone_liar,soft_credibility,alibi_off,no_ejection_rate,1,0.714,outcome
3,lone_liar,soft_credibility,alibi_off,incident_rate,1,1.0,outcome
3,lone_liar,soft_credibility,catch_outside,false_ejection_rate,1,0.32,outcome
3,lone_liar,soft_credibility,catch_outside,coalition_favorable_rate,1,0.826,outcome
