crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,framer,mean,false_ejection_rate,alibi_off minus baseline,10,0.0016000000000000014,0.0018378731669453643,0.0,0.0040000000000000036,"[0.0040000000000000036,0.0,0.0,0.0040000000000000036,0.0,0.0020000000000000018,0.0020000000000000018,0.0,0.0040000000000000036,0.0]",
3,framer,mean,incident_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,no_ejection_rate,alibi_off minus baseline,10,-0.0016000000000000014,0.0018378731669453643,-0.0040000000000000036,0.0,"[-0.0040000000000000036,0.0,0.0,-0.0040000000000000036,0.0,-0.0020000000000000018,-0.0020000000000000018,0.0,-0.0040000000000000036,0.0]",
3,framer,mean,coalition_favorable_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,creator_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,creator_survival,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,false_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,incident_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,mean,no_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,sharp_credibility,coalition_favorable_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
